,0
0,3e-05
1,3.006273544843825e-05
2,3.0125675270518908e-05
3,3.0188820165177045e-05
4,3.0252170943672606e-05
5,3.031572806524159e-05
6,3.0379492378611524e-05
7,3.0443464682832526e-05
8,3.0507645776954702e-05
9,3.057203646002816e-05
10,3.0636637531103e-05
11,3.070144977669043e-05
12,3.0766473861949865e-05
13,3.0831710514159745e-05
14,3.089716048752632e-05
15,3.0962824536255854e-05
16,3.1028703414554585e-05
17,3.109479787662877e-05
18,3.11611086846664e-05
19,3.122763665935078e-05
20,3.1294382587428374e-05
21,3.1361347244843834e-05
22,3.1428531407541836e-05
23,3.149593585146702e-05
24,3.156356135256406e-05
25,3.1631408928477176e-05
26,3.169947884895549e-05
27,3.176777231420654e-05
28,3.183629010666028e-05
29,3.1905033011978635e-05
30,3.1974001819055556e-05
31,3.2043197320016966e-05
32,3.211262032183726e-05
33,3.2182271684571485e-05
34,3.225215223379587e-05
35,3.23222627930348e-05
36,3.2392604190254737e-05
37,3.246317725786423e-05
38,3.253398283271389e-05
39,3.2605021756096426e-05
40,3.267629487374662e-05
41,3.2747803035841325e-05
42,3.2819547096999484e-05
43,3.289152791628212e-05
44,3.2963746357192334e-05
45,3.3036203286088335e-05
46,3.310889955595012e-05
47,3.318183603333794e-05
48,3.325501359341368e-05
49,3.3328433115375674e-05
50,3.3402095482458755e-05
51,3.347600158193424e-05
52,3.355015230510989e-05
53,3.3624548547329984e-05
54,3.369919120797525e-05
55,3.3774081190462914e-05
56,3.384921940224666e-05
57,3.392460675481667e-05
58,3.4000244163439785e-05
59,3.407613253394812e-05
60,3.4152272778717096e-05
61,3.422866582033053e-05
62,3.4305312585068775e-05
63,3.438221400290873e-05
64,3.445937100752381e-05
65,3.453678453628398e-05
66,3.461445553025573e-05
67,3.4692384934202093e-05
68,3.4770573696582625e-05
69,3.484902276955342e-05
70,3.4927733108967114e-05
71,3.5006705674372876e-05
72,3.5085941435345114e-05
73,3.516544136817251e-05
74,3.524520644672869e-05
75,3.5325237648793756e-05
76,3.540553595606432e-05
77,3.5486102354153485e-05
78,3.556693783259084e-05
79,3.564804338482247e-05
80,3.572942000821095e-05
81,3.581106870403535e-05
82,3.589299047749123e-05
83,3.5975186337690646e-05
84,3.605765729766214e-05
85,3.614040433341649e-05
86,3.622342858346373e-05
87,3.630673101123039e-05
88,3.639031265021548e-05
89,3.647417453788471e-05
90,3.655831771568868e-05
91,3.664274322908108e-05
92,3.672745212753689e-05
93,3.681244546457054e-05
94,3.689772429775414e-05
95,3.698328968873569e-05
96,3.706914270325721e-05
97,3.7155284411172984e-05
98,3.7241715889304134e-05
99,3.73284382306774e-05
100,3.741545252267119e-05
101,3.750275985544442e-05
102,3.759036132363032e-05
103,3.767825802636275e-05
104,3.776645106730251e-05
105,3.785494155466367e-05
106,3.7943730601239906e-05
107,3.8032819324430795e-05
108,3.812220884626815e-05
109,3.821190029344235e-05
110,3.8301894797328644e-05
111,3.8392193494013476e-05
112,3.848279752432083e-05
113,3.8573708033838514e-05
114,3.866492617294451e-05
115,3.875645309683328e-05
116,3.8848289965542095e-05
117,3.8940437943977364e-05
118,3.9032898201944044e-05
119,3.912567191844374e-05
120,3.9218760277964014e-05
121,3.931216446668394e-05
122,3.9405885675899055e-05
123,3.949992510205125e-05
124,3.959428394675857e-05
125,3.9688963416845084e-05
126,3.978396472437074e-05
127,3.987928908666119e-05
128,3.997493772633767e-05
129,4.007091187134681e-05
130,4.0167212754990515e-05
131,4.0263841615955804e-05
132,4.036079969834463e-05
133,4.045808825170376e-05
134,4.055570853105462e-05
135,4.065366179692314e-05
136,4.0751949315369576e-05
137,4.085057235801839e-05
138,4.0949532202088094e-05
139,4.1048830128628324e-05
140,4.114846741433711e-05
141,4.124844534897806e-05
142,4.134876522952944e-05
143,4.144942835849711e-05
144,4.1550436043937964e-05
145,4.165178959948324e-05
146,4.1753490344361934e-05
147,4.185553960342416e-05
148,4.19579387071645e-05
149,4.206068899174541e-05
150,4.2163791799020565e-05
151,4.2267248476558224e-05
152,4.237106037766463e-05
153,4.247522886140735e-05
154,4.257975529263867e-05
155,4.268464104201893e-05
156,4.278988748603996e-05
157,4.289549600704836e-05
158,4.3001467993268965e-05
159,4.310780483882814e-05
160,4.321450794566752e-05
161,4.332157872239183e-05
162,4.3429018581736146e-05
163,4.3536828942486353e-05
164,4.3645011229506216e-05
165,4.375356687376244e-05
166,4.386249731234989e-05
167,4.3971803988516634e-05
168,4.4081488351689145e-05
169,4.419155185749739e-05
170,4.430199596779997e-05
171,4.441282215070926e-05
172,4.452403188061655e-05
173,4.463562663821713e-05
174,4.4747607910535466e-05
175,4.485997719095032e-05
176,4.497273597921988e-05
177,4.508588578150688e-05
178,4.519942811040374e-05
179,4.5313364484957696e-05
180,4.5427696431260714e-05
181,4.554242548610098e-05
182,4.56575531900175e-05
183,4.577308108931528e-05
184,4.5889010736967875e-05
185,4.6005343692645135e-05
186,4.6122081522741015e-05
187,4.6239225800401335e-05
188,4.635677810555157e-05
189,4.647474002492462e-05
190,4.6593113152088616e-05
191,4.671189908747466e-05
192,4.683109943840464e-05
193,4.6950715819119016e-05
194,4.707074985080456e-05
195,4.7191203161622165e-05
196,4.731207738673463e-05
197,4.7433374168334437e-05
198,4.755509515567151e-05
