,0
0,1.0000000000000002e-06
1,1.0232512810112808e-06
2,1.0470424520697298e-06
3,1.0713860322498613e-06
4,1.0962948305225269e-06
5,1.1217819524585343e-06
6,1.1478608070870518e-06
7,1.1745451139123585e-06
8,1.2018489100926367e-06
9,1.2297865577844778e-06
10,1.2583727516570035e-06
11,1.2876225265794154e-06
12,1.3175512654860652e-06
13,1.3481747074230848e-06
14,1.379508955780745e-06
15,1.411570486715893e-06
16,1.4443761577687714e-06
17,1.477943216678754e-06
18,1.5122893104035547e-06
19,1.5474324943466213e-06
20,1.5833912417974676e-06
21,1.6201844535899265e-06
22,1.6578314679832584e-06
23,1.6963520707713046e-06
24,1.735766505624945e-06
25,1.7760954846732016e-06
26,1.8173601993285002e-06
27,1.8595823313617412e-06
28,1.9027840642328684e-06
29,1.9469880946829266e-06
30,1.9922176445934904e-06
31,2.038496473119785e-06
32,2.085848889103664e-06
33,2.1342997637729736e-06
34,2.1838745437338508e-06
35,2.234599264262762e-06
36,2.2865005629051023e-06
37,2.3396056933874996e-06
38,2.3939425398509635e-06
39,2.4495396314123605e-06
40,2.5064261570617014e-06
41,2.5646319809030116e-06
42,2.6241876577466526e-06
43,2.6851244490612494e-06
44,2.7474743392934517e-06
45,2.8112700525640467e-06
46,2.87654506974898e-06
47,2.943333645954303e-06
48,3.011670828393997e-06
49,3.0815924746799463e-06
50,3.1531352715336706e-06
51,3.2263367539293236e-06
52,3.3012353246780923e-06
53,3.3778702744639507e-06
54,3.456281802341402e-06
55,3.5365110367055447e-06
56,3.618600056745585e-06
57,3.7025919143927857e-06
58,3.7885306567742487e-06
59,3.876461349184187e-06
60,3.966430098584561e-06
61,4.058484077647323e-06
62,4.1526715493506734e-06
63,4.249041892141994e-06
64,4.347645625680714e-06
65,4.448534437174182e-06
66,4.551761208320423e-06
67,4.657380042871539e-06
68,4.76544629483212e-06
69,4.876016597307332e-06
70,4.989148892015452e-06
71,5.104902459480225e-06
72,5.223337949918765e-06
73,5.344517414840755e-06
74,5.468504339375527e-06
75,5.595363675343608e-06
76,5.725161875089901e-06
77,5.857966926096021e-06
78,5.993848386389666e-06
79,6.13287742076928e-06
80,6.275126837862879e-06
81,6.420671128040094e-06
82,6.569586502197106e-06
83,6.721950931434392e-06
84,6.877844187648056e-06
85,7.0373478850554446e-06
86,7.200545522676661e-06
87,7.367522527793916e-06
88,7.538366300411159e-06
89,7.713166258736937e-06
90,7.89201388571408e-06
91,8.07500277662006e-06
92,8.262228687762811e-06
93,8.453789586297068e-06
94,8.649785701186837e-06
95,8.850319575340596e-06
96,9.055496118945829e-06
97,9.265422664030632e-06
98,9.480209020280417e-06
99,9.699967532138624e-06
100,9.924813137220887e-06
101,1.0154863426072669e-05
102,1.0390238703301343e-05
103,1.0631062050114172e-05
104,1.087745938829449e-05
105,1.112955954564895e-05
106,1.1387494322959744e-05
107,1.1651398562476135e-05
108,1.1921410217980805e-05
109,1.2197670426466869e-05
110,1.2480323581462746e-05
111,1.2769517408042424e-05
112,1.3065403039560012e-05
113,1.3368135096147742e-05
114,1.3677871765018268e-05
115,1.3994774882612179e-05
116,1.431901001863334e-05
117,1.4650746562015227e-05
118,1.4990157808862114e-05
119,1.5337421052411228e-05
120,1.5692717675061013e-05
121,1.605623324251389e-05
122,1.6428157600080995e-05
123,1.6808684971199405e-05
124,1.7198014058211328e-05
125,1.7596348145458204e-05
126,1.800389520474173e-05
127,1.842086800320653e-05
128,1.8847484213699753e-05
129,1.928396652766429e-05
130,1.97305427706234e-05
131,2.018744602031615e-05
132,2.0654914727544455e-05
133,2.1133192839793314e-05
134,2.1622529927688042e-05
135,2.2123181314353026e-05
136,2.2635408207738732e-05
137,2.315947783598411e-05
138,2.3695663585884836e-05
139,2.4244245144536984e-05
140,2.4805508644229946e-05
141,2.5379746810661752e-05
142,2.596725911455361e-05
143,2.6568351926740646e-05
144,2.7183338676818e-05
145,2.781254001542433e-05
146,2.8456283980244817e-05
147,2.9114906165819152e-05
148,2.9788749897240587e-05
149,3.047816640783587e-05
150,3.118351502091584e-05
151,3.190516333568964e-05
152,3.2643487417438393e-05
153,3.3398871992044e-05
154,3.417171064497327e-05
155,3.496240602481867e-05
156,3.5771370051499304e-05
157,3.659902412922811e-05
158,3.74457993643543e-05
159,3.8312136788191744e-05
160,3.919848758494618e-05
161,4.010531332485856e-05
162,4.1033086202681886e-05
163,4.198228928161293e-05
164,4.2953416742804166e-05
165,4.394697414058108e-05
166,4.496347866349543e-05
167,4.600345940134666e-05
168,4.7067457618307236e-05
169,4.81560270322905e-05
170,4.9269734100702534e-05
171,5.040915831272239e-05
172,5.157489248826021e-05
173,5.2767543083743054e-05
174,5.398773050488465e-05
175,5.523608942659589e-05
176,5.651326912019941e-05
177,5.781993378811138e-05
178,5.915676290616342e-05
179,6.0524451573732555e-05
180,6.192371087186061e-05
181,6.33552682295399e-05
182,6.48198677983531e-05
183,6.631827083565362e-05
184,6.785125609648026e-05
185,6.941962023440383e-05
186,7.102417821150698e-05
187,7.266576371770354e-05
188,7.434522959960739e-05
189,7.606344829916685e-05
190,7.782131230228473e-05
191,7.96197345976476e-05
192,8.145964914599714e-05
193,8.334201136007457e-05
194,8.526779859548146e-05
195,8.723801065270164e-05
196,8.925367029053303e-05
197,9.131582375118916e-05
198,9.342554129732914e-05
199,9.558391776128552e-05
200,9.779207310676266e-05
201,0.00010005115300328781
202,0.00010236232941369434
203,0.00010472680119493688
204,0.00010714579471252946
205,0.00010962056446891716
206,0.00011215239374608854
207,0.00011474259526274775
208,0.00011739251184637384
209,0.00012010351712049582
210,0.00012287701620752422
211,0.00012571444644748564
212,0.00012861727813301467
213,0.000131587015260965
214,0.00013462519630100524
215,0.00013773339498158302
216,0.0001409132210936374
217,0.00014416632131245767
218,0.00014749438003808495
219,0.00015089912025467248
220,0.00015438230440922103
221,0.00015794573531011758
222,0.00016159125704591685
223,0.00016532075592480793
224,0.00016913616143522805
225,0.00017303944722808133
226,0.00017703263212104486
227,0.00018111778112544133
228,0.00018529700649618115
229,0.0001895724688052696
230,0.00019394637803940505
231,0.00019842099472219105
232,0.00020299863106149537
233,0.00020768165212251582
234,0.00021247247702710408
235,0.00021737358017992082
236,0.0002223874925220113
237,0.0002275168028123879
238,0.00023276415893823797
239,0.00023813226925436514
240,0.0002436239039525048
241,0.0002492418964611589
242,0.0002549891448766
243,0.0002608686134257292
244,0.00026688333396145933
245,0.0002730364074913325
246,0.00027933100574007423
247,0.0002857703727468229
248,0.0002923578264977623
249,0.00029909676059492157
250,0.0003059906459619076
251,0.0003130430325873547
252,0.0003202575513068966
253,0.0003276379156244702
254,0.0003351879235737809
255,0.0003429114596207846
256,0.0003508124966080418
257,0.00035889509774182497
258,0.0003671634186228742
259,0.000375621709321713
260,0.0003842743164994584
261,0.0003931256855750614
262,0.0004021803629399495
263,0.0004114429982210495
264,0.0004209183465931941
265,0.00043061127114191455
266,0.0004405267452776724
267,0.00045066985520257234
268,0.00046104580243062465
269,0.0004716599063626591
270,0.0004825176069169885
271,0.0004936244672169561
272,0.0005049861763365036
273,0.00051660855210494
274,0.0005284975439720864
275,0.0005406592359350009
276,0.0005530998495275167
277,0.0005658257468738247
278,0.0005788434338073767
279,0.0005921595630563827
280,0.0006057809374972096
281,0.0006197145134770061
282,0.0006339674042068911
283,0.0006485468832270727
284,0.000663460387945282
285,0.0006787155232499131
286,0.0006943200651993139
287,0.000710281964788633
288,0.000726609351795731
289,0.0007433105387075888
290,0.0007603940247287508
291,0.0007778684998732975
292,0.0007957428491418981
293,0.0008140261567854913
294,0.0008327277106571787
295,0.000851857006653906
296,0.0008714237532495617
297,0.0008914378761211078
298,0.0009119095228693785
299,0.0009328490678362309
300,0.0009542671170197012
301,0.0009761745130888543
302,0.0009985823405000566
303,0.0010215019307163588
304,0.0010449448675317382
305,0.0010689229925019376
306,0.00109344841058209
307,0.0011185334956064128
308,0.0011441908961088792
309,0.0011704335412115788
310,0.0011972746466127752
311,0.0012247277206984162
312,0.0012528065707663996
313,0.0012815253093728732
314,0.001310898360806879
315,0.0013409404676797607
316,0.001371666697649288
317,0.0014030924502687028
318,0.0014352334639615757
319,0.0014681058231387847
320,0.001501725965436906
321,0.0015361106890985957
322,0.0015712771604902702
323,0.0016072429217527774
324,0.0016440258986004852
325,0.0016816444082544413
326,0.0017201171675230262
327,0.0017594633010309068
328,0.00179970234958898
329,0.001840854278714306
330,0.0018829394873032177
331,0.001925978816450528
332,0.001969993558430572
333,0.0020150054658169196
334,0.0020610367607697307
335,0.002108110144474446
336,0.0021562488067499806
337,0.0022054764358006482
338,0.002255817228139695
339,0.002307295898663985
340,0.0023599376909024224
341,0.002413768387412283
342,0.0024688143203529266
343,0.0025251023822179053
344,0.002582660036725913
345,0.0026415153298843907
346,0.002701696901215689
347,0.002763233995148201
348,0.0028261564725712155
349,0.0028904948225552418
350,0.002956280174236991
351,0.0030235443088680656
352,0.0030923196720234847
353,0.0031626393859787664
354,0.0032345372622417444
355,0.0033080478142473104
356,0.0033832062702074503
357,0.003460048586120697
358,0.00353861145892801
359,0.003618932339837303
360,0.003701049447781759
361,0.0037850017830169218
362,0.003870829140888685
363,0.003958572125718603
364,0.004048272164827681
365,0.004139971522702223
366,0.0042337133152741515
367,0.0043295415243324534
368,0.004427501012046915
369,0.004527637535604535
370,0.0046299977619590855
371,0.004734629282653733
372,0.004841580628777484
373,0.004950901285964597
374,0.005062641709495641
375,0.005176853339455945
376,0.005293588615957044
377,0.0054129009944066785
378,0.0055348449608175415
379,0.005659476047151007
380,0.005786850846666868
381,0.005917027029279591
382,0.0060500633569258245
383,0.0061860196988883474
384,0.006324957047106865
385,0.006466937531411054
386,0.006612024434728517
387,0.006760282208177275
388,0.006911776486086952
389,0.007066574100888029
390,0.007224743097878144
391,0.007386352749820528
392,0.0075514735714044086
393,0.007720177333462492
394,0.007892537077018924
