,0
0,3e-05
1,3.0251970926420635e-05
2,3.0506115808413202e-05
3,3.076245386474197e-05
4,3.1021004487877436e-05
5,3.1281787245598254e-05
6,3.1544821882607715e-05
7,3.181012832216603e-05
8,3.207772666773734e-05
9,3.23476372046528e-05
10,3.261988040178848e-05
11,3.289447691325985e-05
12,3.3171447580131694e-05
13,3.3450813432144254e-05
14,3.37325956894554e-05
15,3.40168157643994e-05
16,3.430349526326238e-05
17,3.459265598807391e-05
18,3.488431993841587e-05
19,3.517850931324829e-05
20,3.547524651275232e-05
21,3.577455414019019e-05
22,3.607645500378325e-05
23,3.6380972118607347e-05
24,3.668812870850601e-05
25,3.699794820802191e-05
26,3.731045426434613e-05
27,3.7625670739285924e-05
28,3.794362171125107e-05
29,3.8264331477259003e-05
30,3.858782455495847e-05
31,3.891412568467279e-05
32,3.924325983146188e-05
33,3.957525218720369e-05
34,3.99101281726957e-05
35,4.0247913439776044e-05
36,4.0588633873464126e-05
37,4.0932315594122125e-05
38,4.127898495963626e-05
39,4.162866856761954e-05
40,4.1981393257633906e-05
41,4.233718611343461e-05
42,4.269607446523487e-05
43,4.3058085891992574e-05
44,4.34232482237179e-05
45,4.379158954380321e-05
46,4.416313819137485e-05
47,4.453792276366666e-05
48,4.491597211841674e-05
49,4.5297315376285996e-05
50,4.568198192329995e-05
51,4.6070001413313874e-05
52,4.646140377050018e-05
53,4.6856219191860524e-05
54,4.7254478149761e-05
55,4.765621139449131e-05
56,4.806144995684787e-05
57,4.847022515074207e-05
58,4.88825685758326e-05
59,4.9298512120182735e-05
60,4.971808796294249e-05
61,5.014132857705698e-05
62,5.056826673199921e-05
63,5.099893549652976e-05
64,5.143336824148199e-05
65,5.1871598642573594e-05
66,5.231366068324471e-05
67,5.275958865752345e-05
68,5.3209417172917364e-05
69,5.366318115333422e-05
70,5.412091584202792e-05
71,5.458265680457408e-05
72,5.504843993187342e-05
73,5.551830144318311e-05
74,5.599227788917729e-05
75,5.647040615503626e-05
76,5.695272346356547e-05
77,5.743926737834265e-05
78,5.793007580689662e-05
79,5.8425187003915056e-05
80,5.8924639574482514e-05
81,5.942847247735018e-05
82,5.9936725028235105e-05
83,6.0449436903152054e-05
84,6.096664814177621e-05
85,6.148839915083759e-05
86,6.201473070754859e-05
87,6.254568396306287e-05
88,6.308130044596773e-05
89,6.362162206580919e-05
90,6.416669111665091e-05
91,6.471655028066645e-05
92,6.527124263176602e-05
93,6.583081163925739e-05
94,6.639530117154107e-05
95,6.696475549984108e-05
96,6.753921930197219e-05
97,6.811873766614026e-05
98,6.870335609478037e-05
99,6.929312050843181e-05
100,6.988807724964893e-05
101,7.04882730869487e-05
102,7.109375521879687e-05
103,7.170457127763177e-05
104,7.232076933392502e-05
105,7.294239790028338e-05
106,7.356950593558616e-05
107,7.420214284916482e-05
108,7.484035850502076e-05
109,7.54842032260838e-05
110,7.613372779851033e-05
111,7.678898347602377e-05
112,7.745002198429448e-05
113,7.811689552536209e-05
114,7.878965678210032e-05
115,7.946835892272392e-05
116,8.015305560533802e-05
117,8.084380098253046e-05
118,8.154064970600908e-05
119,8.224365693128215e-05
120,8.295287832238326e-05
121,8.366837005664134e-05
122,8.43901888294962e-05
123,8.51183918593594e-05
124,8.585303689252143e-05
125,8.659418220810627e-05
126,8.734188662307261e-05
127,8.809620949726172e-05
128,8.885721073849438e-05
129,8.962495080771677e-05
130,9.039949072419405e-05
131,9.118089207075336e-05
132,9.196921699907852e-05
133,9.276452823505267e-05
134,9.356688908415345e-05
135,9.437636343689925e-05
136,9.519301577434619e-05
137,9.601691117363841e-05
138,9.684811531361161e-05
139,9.768669448044845e-05
140,9.853271557338916e-05
141,9.938624611049616e-05
142,0.00010024735423447294
143,0.00010111610871853843
144,0.00010199257897235836
145,0.00010287683504803187
146,0.00010376894764613622
147,0.00010466898812182711
148,0.00010557702849099984
149,0.00010649314143650693
150,0.0001074174003144358
151,0.00010834987916044639
152,0.00010929065269616839
153,0.00011023979633566082
154,0.00011119738619193069
155,0.00011216349908351714
156,0.00011313821254113512
157,0.00011412160481438339
158,0.00011511375487851832
159,0.00011611474244128856
160,0.00011712464794983863
161,0.00011814355259767508
162,0.00011917153833170071
163,0.00012020868785931661
164,0.00012125508465558884
165,0.0001223108129704872
166,0.0001233759578361898
167,0.00012445060507445898
168,0.00012553484130408698
169,0.0001266287539484125
170,0.00012773243124290922
171,0.00012884596224284586
172,0.00012996943683102
173,0.00013110294572556624
174,0.00013224658048783584
175,0.00013340043353035603
176,0.00013456459812486024
177,0.00013573916841039856
178,0.0001369242394015236
179,0.00013811990699655577
180,0.00013932626798592485
181,0.00014054342006059408
182,0.00014177146182056346
183,0.0001430104927834512
184,0.00014426061339316233
185,0.000145521925028635
186,0.000146794530012673
187,0.00014807853162086257
188,0.00014937403409057162
189,0.00015068114263003653
190,0.00015199996342753701
191,0.0001533306036606535
192,0.000154673171505619
193,0.00015602777614675563
194,0.0001573945277860021
195,0.00015877353765253314
196,0.0001601649180124692
197,0.00016156878217867983
198,0.00016298524452067786
199,0.0001644144204746128
200,0.00016585642655335403
201,0.00016731138035667341
202,0.00016877940058152396
203,0.0001702606070324157
204,0.00017175512063189222
205,0.00017326306343110447
206,0.00017478455862048837
207,0.00017631973054053988
