,0
0,3.000000000000003e-05
1,3.020363040967169e-05
2,3.0408702506878415e-05
3,3.061522687829213e-05
4,3.0823214190396044e-05
5,3.103267519097594e-05
6,3.124362070924378e-05
7,3.145606165670837e-05
8,3.167000902758522e-05
9,3.188547389948627e-05
10,3.210246743420607e-05
11,3.23210008783583e-05
12,3.254108556401864e-05
13,3.2762732909222985e-05
14,3.298595441884741e-05
15,3.3210761685231986e-05
16,3.343716638884765e-05
17,3.366518029900759e-05
18,3.389481527457903e-05
19,3.412608326471389e-05
20,3.4358996309346844e-05
21,3.459356654007199e-05
22,3.482980618091386e-05
23,3.506772754894544e-05
24,3.530734305505954e-05
25,3.554866520469827e-05
26,3.579170659860194e-05
27,3.6036479933547194e-05
28,3.628299800314752e-05
29,3.6531273698584975e-05
30,3.678132000924176e-05
31,3.7033150023550274e-05
32,3.7286776929907055e-05
33,3.75422140173431e-05
34,3.7799474676296284e-05
35,3.8058572399450545e-05
36,3.83195207825179e-05
37,3.858233352505952e-05
38,3.8847024431300464e-05
39,3.9113607410943256e-05
40,3.938209648000773e-05
41,3.965250576169302e-05
42,3.9924849487210534e-05
43,4.019914199656069e-05
44,4.047539773937347e-05
45,4.075363127580936e-05
46,4.103385727754845e-05
47,4.1316090528584075e-05
48,4.160034592606646e-05
49,4.188663848120762e-05
50,4.217498332020525e-05
51,4.2465395685144786e-05
52,4.275789093489723e-05
53,4.305248454605129e-05
54,4.334919211384003e-05
55,4.364802935307213e-05
56,4.394901209907169e-05
57,4.42521563086331e-05
58,4.45574780609962e-05
59,4.4864993558807096e-05
60,4.517471912909241e-05
61,4.5486671224209763e-05
62,4.5800866422790774e-05
63,4.6117321430788554e-05
64,4.643605308246379e-05
65,4.675707834151694e-05
66,4.708041430201773e-05
67,4.740607818945845e-05
68,4.7734087361740706e-05
69,4.806445931022934e-05
70,4.839721166084732e-05
71,4.873236217512147e-05
72,4.906992875126974e-05
73,4.940992942526148e-05
74,4.9752382371912285e-05
75,5.009730590598772e-05
76,5.044471848330765e-05
77,5.07946387018623e-05
78,5.114708530293682e-05
79,5.1502077172245105e-05
80,5.1859633341075134e-05
81,5.2219772987444706e-05
82,5.2582515437278544e-05
83,5.294788016556386e-05
84,5.331588679753808e-05
85,5.368655510988285e-05
86,5.40599050318799e-05
87,5.4435956646614996e-05
88,5.4814730192242514e-05
89,5.519624606318506e-05
90,5.5580524811379074e-05
91,5.596758714763402e-05
92,5.635745394278813e-05
93,5.6750146228991423e-05
94,5.714568520100773e-05
95,5.754409221747244e-05
96,5.794538880214908e-05
97,5.8349596645332404e-05
98,5.875673760513478e-05
99,5.916683370881616e-05
100,5.95799071541529e-05
101,5.999598031077542e-05
102,6.041507572152891e-05
103,6.083721610385577e-05
104,6.126242435118506e-05
105,6.16907235343314e-05
106,6.212213690290687e-05
107,6.25566878867442e-05
108,6.299440009733042e-05
109,6.343529732925328e-05
110,6.387940356165911e-05
111,6.432674295972241e-05
112,6.477733987612753e-05
113,6.523121885256499e-05
114,6.568840462125031e-05
115,6.614892210642647e-05
116,6.661279642589769e-05
117,6.708005289257583e-05
118,6.755071701603737e-05
119,6.802481450408932e-05
120,6.850237126428927e-05
121,6.89834134055927e-05
122,6.946796723996945e-05
123,6.995605928400353e-05
124,7.044771626052437e-05
125,7.09429651002495e-05
